0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,MONEDA,categoria,FECHA
-,-,-,-,-,-,s.i.,-,-,-,-,-,-,-,-,-,-,-,-,-,USD,Préstamos a cuota fija de 181 a 360 días,30/09/2025
-,-,-,-,-,-,s.i.,7.40,-,-,-,-,-,-,-,-,-,-,-,7.40,USD,Préstamos a cuota fija a más de 360 días,30/09/2025
51.06,32.70,49.16,47.62,48.41,47.48,s.i.,59.84,-,47.44,-,-,-,-,-,-,-,-,-,50.44,USD,Consumo,30/09/2025
60.78,32.70,56.64,47.65,53.40,49.18,s.i.,60.54,-,47.44,-,-,-,-,-,-,-,-,-,56.71,USD,Tarjetas de Crédito,30/09/2025
14.19,-,-,-,-,-,s.i.,-,-,-,-,-,-,-,-,-,-,-,-,14.19,USD,Préstamos Revolventes,30/09/2025
9.64,-,10.09,-,8.10,-,s.i.,-,-,-,-,-,-,-,-,-,-,-,-,9.97,USD,Préstamos no Revolventes para automóviles,30/09/2025
5.01,-,5.71,12.10,6.93,-,s.i.,11.49,-,-,-,-,-,-,-,-,-,-,-,5.43,USD,Préstamos no Revolventes para libre disponibilidad hasta 360 días,30/09/2025
8.76,-,5.81,-,5.25,6.00,s.i.,7.85,-,-,-,-,-,-,-,-,-,-,-,6.47,USD,Préstamos no Revolventes para libre disponibilidad a más de 360 días,30/09/2025
-,-,-,-,-,-,s.i.,-,-,-,-,-,-,-,-,-,-,-,-,-,USD,Créditos pignoraticios,30/09/2025
6.51,-,7.14,10.00,9.22,6.51,s.i.,7.44,-,-,-,-,-,-,-,-,-,-,-,6.85,USD,Hipotecarios,30/09/2025
6.51,-,7.14,10.00,9.22,6.51,s.i.,7.44,-,-,-,-,-,-,-,-,-,-,-,6.85,USD,Préstamos hipotecarios para vivienda,30/09/2025
